Intent|Response
hello|Hello!
help|Here is a help menu
contact|We would love you to meet our team!
hi|Hello!
what is my name|I know what your name is.
how are you|I'm doing great!
what can you do|I can book you an appointment. Anything from health checkups to pet grooming! Here is a help menu
howdy|Hello!
good day|Hello!
greetings|Hello!
who can I contact|We would love you to meet our team!
how do I reach out|We would love you to meet our team!
hi there|Hello!
what’s my name|I know what your name is.
can you tell me my name|I know what your name is.
how is it going|I'm doing great!
are you okay|I'm doing great!
how are things|I'm doing great!
tell me what you can do|I can book you an appointment. Anything from health checkups to pet grooming! Here is a help menu
what services do you offer|I can book you an appointment. Anything from health checkups to pet grooming! Here is a help menu
what do you do|I can book you an appointment. Anything from health checkups to pet grooming! Here is a help menu
what can you help with|I can book you an appointment. Anything from health checkups to pet grooming! Here is a help menu
hey|Hello!
yo|Hello!
salutations|Hello!
who can I talk to|We would love you to meet our team!
how can I contact support|We would love you to meet our team!
hello bot|Hello!
what’s up|I'm doing great!
how’s life|I'm doing great!
are you feeling okay|I'm doing great!
is everything good|I'm doing great!
what appointments can you book|I can book you an appointment. Anything from health checkups to pet grooming! Here is a help menu
what kinds of services do you provide|I can book you an appointment. Anything from health checkups to pet grooming! Here is a help menu
how can you help me|I can book you an appointment. Anything from health checkups to pet grooming! Here is a help menu
can you book me an appointment|I can book you an appointment. Anything from health checkups to pet grooming! Here is a help menu
who should I contact|We would love you to meet our team!
who can assist me|We would love you to meet our team!
what is the best way to contact someone|We would love you to meet our team!
how can I get in touch|We would love you to meet our team!
bye|Goodbye
goodbye|Goodbye
see you|Goodbye
farewell|Goodbye
catch you later|Goodbye
talk to you soon|Goodbye
take care|Goodbye
later|Goodbye
so long|Goodbye
ciao|Goodbye
adios|Goodbye
see you later|Goodbye
bye-bye|Goodbye
until next time|Goodbye
peace out|Goodbye
have a good one|Goodbye
all the best|Goodbye
good night|Goodbye
I'm leaving|Goodbye
heading out|Goodbye
quit|Goodbye
change name|You want to change my name
can I change my name|You want to change my name
is it possible to change my name|You want to change my name
I want to change my name|You want to change my name
how do I change my name|You want to change my name
change pet's name|You want to change my pet's name
can I change my pet's name|You want to change my pet's name
is it possible to change my pet's name|You want to change my pet's name
I want to change my pet's name|You want to change my pet's name
how do I change my pet's name|You want to change my pet's name
I need to change my pet's name|You want to change my pet's name
change pet preference|You want to change my favourite pet preference
can I change my favourite pet preference|You want to change my favourite pet preference
how do I change my favourite pet preference|You want to change my favourite pet preference
I want to change my favourite pet preference|You want to change my favourite pet preference
I need to change my favourite pet preference|You want to change my favourite pet preference
